Diptera_family;Diptera_species;Species_authors_diptera;Species_authors_galls;Sampling_year;Genus/Species_host_plant_adjusted;Genus/Species_host_plant_original_paper;Host_plant_family;Site_states;Site_municipality ;Study_location;Vegetation_type;Complete_references;;;;;;;;;;;;;
Cecidomyiidae;Dialeria styracis Tavares, 1918;Tavares, 1918;Tavares, 1918;1918;Styrax sp. ;NA;Styracaceae;Bahia;Caeteté;NA;Transição caatinga-cerrado;Tavares, J.S. 1918. Cecidomyias novas do Brazil, segunda série. Broteria, Série Zoológica 16 (2): 68–84, pls. III–IV.;;;;;;;;;;;;;
Cecidomyiidae;Lopesia andirae Garcia, Lima, Calado & Urso-Guimarães, 2017;Garcia, Lima, Calado & Urso-Guimarães, 2017;Garcia, Lima, Calado & Urso-Guimarães, 2017;2017;Andira humilis Mart. ex Benth. ;NA;Fabaceae;Bahia, Mato Grosso;Barreiras, Cuiabá;Universidade Federal de Mato Grosso;Cerrado;Garcia, C. A., V. P. Lima, D. C. Calado, and M. V. Urso-Guimaraes. 2017. New species of Lopesia Rübsaamen (Diptera: Cecidomyiidae) associated with Andira humilis Mart. ex Benth. (Fabaceae). Revista Brasileira de Entomologia 61:  239-242.;;;;;;;;;;;;;
Cecidomyiidae;Lopesia bilobata Maia, 2004;Maia, 2004;Maia, 2004;2004;Guapira sp.;NA;Nyctaginaceae;Minas Gerais ;Tiradentes;Serra de São José;Cerrado;Maia, V.C. 2004. A new genus and six new species of gall midges (Diptera,Cecidomyiidae) from Serra de São José (Minas Gerais State), Brazil). Arquivos do Museu Nacional 62: 69?82.;;;;;;;;;;;;;
Cecidomyiidae;Lopesia caulinaris Maia, 2002;Maia, 2002;Madeira, Maia & Monteiro, 2002;2002;Calophyllum brasiliense Cambess. ;NA;Clusiaceae;Rio de Janeiro, São Paulo, Minas Gerais, Goiás;Carapebus;NA;Transição caatinga-cerrado;Madeira, J.A., V.C. Maia and R.F. Monteiro. 2003. Gall makers (Cecidomyiidae, Diptera) on Calophyllum brasiliense Camb. (Clusiaceae): descriptions and biology. Arquivos do Museu Nacional 61: 31–48.;;;;;;;;;;;;;
Cecidomyiidae;Lopesia conspicua Maia, 2002;Maia, 2002;Madeira, Maia & Monteiro, 2002;2002;Calophyllum brasiliense Cambess. ;NA;Clusiaceae;Rio de Janeiro;Carapebus;NA;Transição caatinga-cerrado;Madeira, J.A., V.C. Maia and R.F. Monteiro. 2003. Gall makers (Cecidomyiidae, Diptera) on Calophyllum brasiliense Camb. (Clusiaceae): descriptions and biology. Arquivos do Museu Nacional 61: 31–48.;;;;;;;;;;;;;
Cecidomyiidae;Lopesia eichhorniae Urso-Guimarães, 2014;Urso-Guimarães, 2014;Urso-Guimarães, Peláez-Rodríguez & Trivinho-Strixino, 2014 ;2014;Eichhornia azurea (Sw.) Kunth.  ;NA;Pontederiaceae;São Paulo ;Luiz Antônio ;Estação Ecológica do Jataí;Cerrado;Urso-Guimaraes, M.V., M. Palaez-Rodriguez and S.Trivinho-Strixino. 2014. New species of Lopesia (Diptera, Cecidomyiidae) associated with Eichhornia azurea (Pontederiaceae) from Brazil. Iheringia, Serie Zoologia 104: 478-483.;;;;;;;;;;;;;
Cecidomyiidae;Lopesia elliptica Maia, 2003;Maia, 2002;Madeira, Maia & Monteiro, 2002;2003;Calophyllum brasiliense Cambess. ;NA;Clusiaceae;Rio de Janeiro;Carapebus;NA;Transição caatinga-cerrado;Madeira, J.A., V.C. Maia and R.F. Monteiro. 2003. Gall makers (Cecidomyiidae, Diptera) on Calophyllum brasiliense Camb. (Clusiaceae): descriptions and biology. Arquivos do Museu Nacional 61: 31–48.;;;;;;;;;;;;;
Cecidomyiidae;Lopesia indaiensis Maia & Oliveira, 2018 ;Maia & Oliveira, 2018;Maia & Oliveira, 2018;2018;Andira fraxinifolia Benth;NA;Fabaceae;Minas Gerais;Dores do Indaiá;NA;Transição caatinga-cerrado;Maia, V. C. and L. Oliveira. 2018. Lopesia indaiensis (Diptera, Cecidomyiidae), a new species of gall midge feeding on Andira fraxinifolia Benth (Fabaceae), an endemic plant in Brazil. Revista Brasileira de Entomologia v 62 (2): 125–130.;;;;;;;;;;;;;
Cecidomyiidae;Lopesia linearisMaia, 2003;Maia, 2002;Madeira, Maia & Monteiro, 2002;2003;Calophyllum brasiliense Cambess. ;NA;Clusiaceae;Rio de Janeiro;Carapebus;NA;Transição caatinga-cerrado;Madeira, J.A., V.C. Maia and R.F. Monteiro. 2003. Gall makers (Cecidomyiidae, Diptera) on Calophyllum brasiliense Camb. (Clusiaceae): descriptions and biology. Arquivos do Museu Nacional 61: 31–48.;;;;;;;;;;;;;
Cecidomyiidae;Lopesia mataybae Garcia & Urso-Guimarães, 2018 ;Garcia & Urso-Guimarães, 2018;Garcia & Urso-Guimarães, 2018;2018;Matayba guianensis Aubl.;NA;Sapindaceae;Mato Grosso;Chapada dos Guimarães;Parque Nacional da Chapada dos Guimarães;Cerrado;Garcia, C. A. and M. V. Urso-Guimarães. 2018. Three New Species of Lopesia Rübsaamen (Diptera: Cecidomyiidae) from Brazil. Florida Entomologist 101: 203-211.;;;;;;;;;;;;;
